                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0571,                 6.4983,                 4.6945,                 2.0981,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1617,                 10.265,                 5.5334,                 2.3274,                      0,                      0,                      0
                      2,                  2.171,                 4.8583,                  5.389,                 1.8228,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1741,                 10.259,                 5.5441,                 2.3225,             1.1881e-05,             1.1881e-05,             1.1881e-05
                      3,                 2.0539,                 6.4942,                 5.3284,                 1.8761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1848,                 10.276,                 5.5607,                 2.3252,             2.2525e-05,             2.2525e-05,             2.2525e-05
                      4,                 2.9544,                 5.4144,                 5.6318,                 2.4668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2138,                 10.264,                 5.5604,                 2.3388,             3.1931e-05,             3.1931e-05,             3.1931e-05
                      5,                 2.6514,                 3.7342,                 6.7439,                 2.5328,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2207,                 10.271,                 5.5786,                 2.3378,               4.01e-05,               4.01e-05,               4.01e-05
                      6,                 2.1985,                 4.5819,                 5.0341,                 1.9749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2475,                 10.105,                 5.5756,                 2.3514,             4.7031e-05,             4.7031e-05,             4.7031e-05
                      7,                 1.5625,                 5.0992,                 4.6825,                 1.7625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.0851,                 6.7681,                 5.3759,                  2.189,             5.2725e-05,             5.2725e-05,             5.2725e-05
                      8,                 1.6282,                 3.5187,                 4.8229,                 1.7526,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.0866,                 4.7324,                 5.3372,                 2.1818,             5.7181e-05,             5.7181e-05,             5.7181e-05
                      9,                 1.9643,                 3.6404,                 4.5643,                 1.9905,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.0448,                 3.7771,                 5.2683,                 2.1364,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                  1.404,                 2.9269,                 4.4096,                 1.4859,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.9135,                 3.7644,                 5.3514,                 2.1135,             6.2381e-05,             6.2381e-05,             6.2381e-05
                     11,                 1.4248,                 3.5174,                 5.2346,                 1.6619,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.8743,                 3.3447,                 5.1662,                 2.0807,             6.3125e-05,             6.3125e-05,             6.3125e-05
                     12,                 1.7598,                 3.2431,                 5.1988,                 1.7132,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.8401,                 3.1995,                 5.0622,                 2.0587,             6.2631e-05,             6.2631e-05,             6.2631e-05
                     13,                 1.4835,                  3.077,                  4.411,                 1.4525,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.8112,                 3.1284,                 5.0434,                 2.0294,               6.09e-05,               6.09e-05,               6.09e-05
                     14,                 1.3594,                 3.2361,                 4.5257,                 1.4709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7829,                 3.0374,                 5.0913,                 1.9915,             5.7931e-05,             5.7931e-05,             5.7931e-05
                     15,                 1.0647,                 2.6351,                 4.3577,                 1.1373,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7618,                 2.9721,                 5.1161,                 1.9757,             5.3725e-05,             5.3725e-05,             5.3725e-05
                     16,                 1.1439,                 2.7199,                 4.3973,                 1.2269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7441,                 2.8596,                 5.0992,                 1.9594,             4.8281e-05,             4.8281e-05,             4.8281e-05
                     17,                 1.2728,                 2.6015,                 4.2572,                 1.2381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7183,                 2.7969,                 5.0729,                 1.9637,               4.16e-05,               4.16e-05,               4.16e-05
                     18,                  1.246,                 2.7919,                 4.4296,                 1.3066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7183,                 2.7969,                 5.0729,                 1.9637,             3.3681e-05,             3.3681e-05,             3.3681e-05
                     19,                 1.1083,                 2.3113,                 4.0984,                 1.1652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7073,                 2.7232,                 5.0398,                 1.9417,             2.4525e-05,             2.4525e-05,             2.4525e-05
                     20,                 1.0725,                 2.5072,                 3.8808,                  1.139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7073,                 2.7232,                 5.0398,                 1.9417,             1.4131e-05,             1.4131e-05,             1.4131e-05
