                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7764,                 3.4753,                 2.7676,                0.00752,                      1,                 0.0336,                0.00884,                 2.6174,                 4.2759,                 3.7583,                      0,                      0,                      0
                      2,                 2.7614,                 3.5921,                 2.8754,                0.00746,                      1,                 0.0581,                0.01712,                 2.5992,                 4.1369,                 3.7686,             1.5845e-05,             1.5845e-05,             1.5845e-05
                      3,                 2.9036,                 3.9749,                 2.8904,                0.00752,                      1,                0.06464,                0.01866,                 2.5857,                 4.0985,                 3.7711,             3.0039e-05,             3.0039e-05,             3.0039e-05
                      4,                 2.7541,                 3.9076,                 2.6942,                0.00763,                      1,                0.04879,                0.01273,                 2.5777,                 4.0508,                 3.7816,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      5,                 2.3174,                 4.0201,                 2.3613,                0.00756,                      1,                0.04949,                0.01356,                  2.588,                 4.0609,                 3.7893,             5.3477e-05,             5.3477e-05,             5.3477e-05
                      6,                 2.6912,                 3.8671,                 2.5963,                 0.0075,                      1,                0.11097,                0.04211,                 2.5796,                  4.112,                  3.798,             6.2721e-05,             6.2721e-05,             6.2721e-05
                      7,                 2.9355,                 4.1041,                 2.8671,                0.00759,                      1,                0.18805,                  0.076,                 2.5038,                  4.076,                 3.6816,             7.0314e-05,             7.0314e-05,             7.0314e-05
                      8,                 3.1368,                 3.9723,                 2.8454,                0.00759,                      1,                0.35915,                0.14063,                 2.4504,                 4.1941,                 3.6468,             7.6257e-05,             7.6257e-05,             7.6257e-05
                      9,                 2.4681,                 3.7763,                 2.8841,                0.00775,                      1,                0.35857,                0.17263,                    2.4,                 4.1722,                 3.6637,             8.0549e-05,             8.0549e-05,             8.0549e-05
                     10,                  2.849,                 4.1982,                 2.8343,                0.00769,                      1,                0.36176,                 0.1736,                 2.4419,                 4.1903,                 3.6899,             8.3192e-05,             8.3192e-05,             8.3192e-05
                     11,                 2.5255,                 4.9623,                 3.2786,                0.00761,                      1,                0.36719,                0.17726,                 2.4336,                 4.2038,                 3.7385,             8.4183e-05,             8.4183e-05,             8.4183e-05
                     12,                 2.9322,                  5.141,                 3.7318,                0.00767,                      1,                0.35247,                0.14132,                  2.503,                 4.3141,                 3.8157,             8.3525e-05,             8.3525e-05,             8.3525e-05
                     13,                 2.7385,                 4.5611,                 3.0329,                0.00752,                      1,                0.35292,                0.10634,                 2.6205,                 4.0711,                 3.7686,             8.1216e-05,             8.1216e-05,             8.1216e-05
                     14,                  2.437,                 5.2882,                  2.689,                0.00744,                      1,                0.36719,                0.09162,                 2.7723,                 3.9175,                 3.7649,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     15,                 2.3821,                 4.2814,                 2.9798,                 0.0075,                      1,                0.35714,                0.09099,                 2.7935,                 3.9873,                 3.7268,             7.1648e-05,             7.1648e-05,             7.1648e-05
                     16,                 2.1835,                 4.5123,                 2.7574,                0.00744,                      1,                0.35606,                 0.0906,                 2.7315,                 4.0389,                 3.5854,             6.4388e-05,             6.4388e-05,             6.4388e-05
                     17,                 1.7013,                 4.1542,                 2.4111,                0.00752,                      1,                0.37382,                 0.0948,                   2.62,                 4.0619,                 3.4904,             5.5478e-05,             5.5478e-05,             5.5478e-05
                     18,                 2.1835,                  4.435,                 2.7312,                0.00752,                      1,                0.37382,                 0.0948,                   2.62,                 4.0619,                 3.4904,             4.4917e-05,             4.4917e-05,             4.4917e-05
                     19,                 2.2683,                 4.2048,                 2.6792,                0.00743,                      1,                0.37713,                0.09389,                 2.5277,                 4.2959,                 3.4755,             3.2707e-05,             3.2707e-05,             3.2707e-05
                     20,                 2.0025,                 4.2754,                 2.8242,                0.00743,                      1,                0.37713,                0.09389,                 2.5277,                 4.2959,                 3.4755,             1.8845e-05,             1.8845e-05,             1.8845e-05
